Experiment,Name,Type,LayerRows,LayerColumns,Neurons,KernelRows,KernelColumns,Partitions,SW
1,H1,Convolution,24,24,32,1,1,1,0.001063133969
1,H2,Pooling,12,12,32,2,2,1,0.0006769469804
1,H3,Convolution,8,8,64,5,5,1,0.002382365931
1,H4,Pooling,4,4,64,2,2,1,0.0001413059959
1,H5,Fully connected,1,1,1024,4,4,1,0.00034360799
1,HY,Output,1,1,10,1,1,1,0.00001010699971
2,H1,Convolution,12,12,2,19,19,1,0.01969745343
2,H2,Pooling,12,12,10,1,1,1,0.0001622699953
2,H3,Convolution,10,10,32,3,3,1,0.0008744729746
2,H4,Pooling,5,5,10,2,2,1,0.00007910699771
2,H5,Fully connected,1,1,512,5,5,1,0.0002694179922
2,HY,Output,1,1,20,1,1,1,0.000008852999743
3,H1,Convolution,26,26,4,3,3,1,0.002864459917
3,H2,Pooling,13,13,64,2,2,1,0.00103279197
3,H3,Convolution,8,8,16,6,6,1,0.001563986955
3,H4,Pooling,4,4,128,2,2,1,0.0002102099939
3,H5,Fully connected,1,1,512,4,4,1,0.0001794419948
3,HY,Output,1,1,20,1,1,1,0.00000896399974
4,H1,Convolution,56,56,16,5,5,1,0.04032144483
4,H2,Pooling,28,28,8,2,2,1,0.001944131944
4,H3,Convolution,4,4,8,25,25,1,0.005113100852
4,H4,Pooling,2,2,512,2,2,1,0.0001928909944
4,H5,Fully connected,1,1,128,2,2,1,0.00002194199936
4,HY,Output,1,1,64,1,1,1,0.000009803999716
5,H1,Convolution,50,50,4,7,7,1,0.04946036257
5,H2,Pooling,10,10,40,5,5,1,0.002388539931
5,H3,Convolution,8,8,8,3,3,1,0.0003368909902
5,H4,Pooling,4,4,128,2,2,1,0.0001996439942
5,H5,Fully connected,1,1,512,4,4,1,0.0001787339948
5,HY,Output,1,1,16,1,1,1,0.000008882999742